pos_current: [116.38553266, 39.90440998, 0], theta_current: 272.1, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 274.20000000000005, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 276.30000000000007, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 278.4000000000001, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 280.5000000000001, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 282.60000000000014, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 284.70000000000016, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 286.8000000000002, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 288.9000000000002, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 291.0000000000002, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 293.10000000000025, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 295.2000000000003, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 297.3000000000003, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 299.4000000000003, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 301.50000000000034, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 303.60000000000036, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 305.7000000000004, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 307.8000000000004, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 1.8999999999999986, steering_wheel_angle: 19
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 1.8999999999999986, steering_wheel_angle: 19
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 1.8999999999999986, steering_wheel_angle: 19
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 1.2999999999999972, steering_wheel_angle: 13
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: 0.5, steering_wheel_angle: 5
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -2.0, steering_wheel_angle: -20
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.7999999999999972, steering_wheel_angle: -18
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.6000000000000014, steering_wheel_angle: -16
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.2000000000000028, steering_wheel_angle: -12
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.3999999999999986, steering_wheel_angle: -14
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.3999999999999986, steering_wheel_angle: -14
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.3999999999999986, steering_wheel_angle: -14
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270, speed: 0.00, wheel_angle: -1.3999999999999986, steering_wheel_angle: -14
