pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.5, steering_wheel_angle: 5
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.5, steering_wheel_angle: 5
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553059750714150193172363898939222'), Decimal('39.904409914755543003184292598515894606934490346945'), 0], speed: 0.20, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553059749794745689307984633815944'), Decimal('39.904409849511089119381064580874476634602776753003'), 0], speed: 0.20, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553059748875341185443605368692666'), Decimal('39.904409784266635297708528743823430561764624843174'), 0], speed: 0.20, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553059707272287385580447308892369'), Decimal('39.904406831955102678440273909464487263349164616056'), 0], speed: 9.05, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553059632019028744280998949698369'), Decimal('39.904401491696792574140411962205663094521965971172'), 0], speed: 16.37, wheel_angle: 0.0, steering_wheel_angle: 0
