pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553263311829, 39.90440998, 0], speed: 0.14, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553260623658, 39.90440998, 0], speed: 0.14, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553033473245, 39.90440998, 0], speed: 11.83, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552806322832, 39.90440998, 0], speed: 11.83, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552571107907, 39.90440998, 0], speed: 12.25, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552335892982, 39.90440998, 0], speed: 12.25, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552101446106, 39.90440998, 0], speed: 12.21, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855186795929, 39.90440998, 0], speed: 12.16, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38551634280464, 39.90440998, 0], speed: 12.17, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38551400601636, 39.90440998, 0], speed: 12.17, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855116077842, 39.90440998, 0], speed: 12.49, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38550893881485, 39.90440998, 0], speed: 13.90, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855061373571, 39.90440998, 0], speed: 14.59, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38550333589934, 39.90440998, 0], speed: 14.59, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38550052100074, 39.90440998, 0], speed: 14.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38549770610213, 39.90440998, 0], speed: 14.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38549489120352, 39.90440998, 0], speed: 14.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38549207630491, 39.90440998, 0], speed: 14.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38548926332642, 39.90440998, 0], speed: 14.65, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38548645034793, 39.90440998, 0], speed: 14.65, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38548363929105, 39.904409983268806, 0], speed: 14.64, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38548082631503, 39.904409987477436, 0], speed: 14.65, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854780133434, 39.904409994492845, 0], speed: 14.65, wheel_angle: -1.5, steering_wheel_angle: -15
pos_current: [116.3854751907779, 39.90441000438373, 0], speed: 14.70, wheel_angle: -2.1000000000000014, steering_wheel_angle: -21
pos_current: [116.38547236053934, 39.90441001669924, 0], speed: 14.74, wheel_angle: -2.6000000000000014, steering_wheel_angle: -26
pos_current: [116.38546952646062, 39.904410029048194, 0], speed: 14.76, wheel_angle: -2.6000000000000014, steering_wheel_angle: -26
pos_current: [116.38546669238892, 39.90441004330022, 0], speed: 14.76, wheel_angle: -3.0, steering_wheel_angle: -30
pos_current: [116.38546385641422, 39.904410061387196, 0], speed: 14.77, wheel_angle: -3.799999999999997, steering_wheel_angle: -38
pos_current: [116.3854610166207, 39.90441008335624, 0], speed: 14.79, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.38545816726725, 39.90441011127925, 0], speed: 14.84, wheel_angle: -5.800000000000001, steering_wheel_angle: -58
pos_current: [116.38545531793325, 39.90441014162804, 0], speed: 14.84, wheel_angle: -6.300000000000001, steering_wheel_angle: -63
pos_current: [116.38545243598804, 39.90441017566046, 0], speed: 15.01, wheel_angle: -6.899999999999999, steering_wheel_angle: -69
pos_current: [116.38544953293456, 39.90441021120457, 0], speed: 15.12, wheel_angle: -7.100000000000001, steering_wheel_angle: -71
pos_current: [116.38544662604151, 39.90441024684277, 0], speed: 15.14, wheel_angle: -7.100000000000001, steering_wheel_angle: -71
pos_current: [116.3854437210883, 39.90441028446139, 0], speed: 15.13, wheel_angle: -7.5, steering_wheel_angle: -75
pos_current: [116.38544081617862, 39.9044103261463, 0], speed: 15.13, wheel_angle: -8.3, steering_wheel_angle: -83
pos_current: [116.3854379074655, 39.90441037101002, 0], speed: 15.15, wheel_angle: -8.899999999999999, steering_wheel_angle: -89
pos_current: [116.3854349373814, 39.90441042207132, 0], speed: 15.47, wheel_angle: -9.7, steering_wheel_angle: -97
pos_current: [116.38543183298015, 39.90441048079313, 0], speed: 16.17, wheel_angle: -10.2, steering_wheel_angle: -102
pos_current: [116.38542864226949, 39.90441054656252, 0], speed: 16.62, wheel_angle: -10.8, steering_wheel_angle: -108
