pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -1.1000000000000014, steering_wheel_angle: -11
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -1.2999999999999972, steering_wheel_angle: -13
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553259279573, 39.90440998, 0], speed: 0.35, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553252559146, 39.90440998, 0], speed: 0.35, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553245838719, 39.90440998, 0], speed: 0.35, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553239118292, 39.90440998, 0], speed: 0.35, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553118534641, 39.90440998, 0], speed: 6.28, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855299795099, 39.90440998, 0], speed: 6.28, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552877367339, 39.90440998, 0], speed: 6.28, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.385527412307, 39.90440998, 0], speed: 7.09, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552605094061, 39.90440998, 0], speed: 7.09, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855246953346, 39.90440998, 0], speed: 7.06, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552333972858, 39.90440998, 0], speed: 7.06, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552198412256, 39.90440998, 0], speed: 7.06, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38552059011411, 39.90440998, 0], speed: 7.26, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38551919610566, 39.90440998, 0], speed: 7.26, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38551753328015, 39.90440998, 0], speed: 8.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38551587045464, 39.90440998, 0], speed: 8.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38551420762913, 39.90440998, 0], speed: 8.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855124910402, 39.90440998, 0], speed: 8.94, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38551077445128, 39.90440998, 0], speed: 8.94, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38550905786235, 39.90440998, 0], speed: 8.94, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38550734127342, 39.90440998, 0], speed: 8.94, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38550905018161, 39.90440998103546, 0], speed: 8.90, wheel_angle: 0.6000000000000014, steering_wheel_angle: 6
pos_current: [116.38551075908936, 39.904409982761344, 0], speed: 8.90, wheel_angle: 1.0, steering_wheel_angle: 10
pos_current: [116.38551246607614, 39.904409985344685, 0], speed: 8.89, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38551417306292, 39.90440998792803, 0], speed: 8.89, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38551588196937, 39.90440999086259, 0], speed: 8.90, wheel_angle: 1.7000000000000028, steering_wheel_angle: 17
pos_current: [116.38551759087478, 39.9044099944882, 0], speed: 8.90, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.3855192997802, 39.904409998113806, 0], speed: 8.90, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.3855210067655, 39.90441000173127, 0], speed: 8.89, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.3855227137508, 39.90441000534874, 0], speed: 8.89, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.3855244207361, 39.9044100089662, 0], speed: 8.89, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.3855261277214, 39.90441001258367, 0], speed: 8.89, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.3855278327866, 39.904410016193, 0], speed: 8.88, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38552953785178, 39.90441001980233, 0], speed: 8.88, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553124291697, 39.90441002341166, 0], speed: 8.88, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553294798216, 39.90441002702099, 0], speed: 8.88, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38553464728577, 39.90441003128962, 0], speed: 8.85, wheel_angle: 2.5, steering_wheel_angle: 25
pos_current: [116.38553634658534, 39.90441003726936, 0], speed: 8.85, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.3855380458807, 39.90441004462054, 0], speed: 8.85, wheel_angle: 4.299999999999997, steering_wheel_angle: 43
pos_current: [116.38553972404674, 39.9044100539699, 0], speed: 8.74, wheel_angle: 5.600000000000001, steering_wheel_angle: 56
pos_current: [116.38554140220648, 39.904410064665335, 0], speed: 8.74, wheel_angle: 6.399999999999999, steering_wheel_angle: 64
pos_current: [116.38554304003708, 39.9044100764614, 0], speed: 8.53, wheel_angle: 7.399999999999999, steering_wheel_angle: 74
pos_current: [116.3855446778558, 39.904410090197295, 0], speed: 8.53, wheel_angle: 8.600000000000001, steering_wheel_angle: 86
pos_current: [116.3855463425458, 39.904410105562526, 0], speed: 8.67, wheel_angle: 9.299999999999997, steering_wheel_angle: 93
pos_current: [116.38554800722015, 39.90441012295278, 0], speed: 8.67, wheel_angle: 10.5, steering_wheel_angle: 105
pos_current: [116.38554967188294, 39.90441014170169, 0], speed: 8.67, wheel_angle: 11.299999999999997, steering_wheel_angle: 113
pos_current: [116.38555154962052, 39.90441016773313, 0], speed: 9.78, wheel_angle: 12.299999999999997, steering_wheel_angle: 123
pos_current: [116.3855534273533, 39.90441019420144, 0], speed: 9.78, wheel_angle: 12.5, steering_wheel_angle: 125
pos_current: [116.38555542026478, 39.90441022401687, 0], speed: 10.38, wheel_angle: 12.5, steering_wheel_angle: 125
pos_current: [116.38555737096029, 39.904410251169615, 0], speed: 10.16, wheel_angle: 11.899999999999999, steering_wheel_angle: 119
pos_current: [116.38555932171057, 39.904410272731845, 0], speed: 10.16, wheel_angle: 9.5, steering_wheel_angle: 95
